iter	RMSE
141	0.3310824423
142	0.3308439287
143	0.3306500503
144	0.3303946449
145	0.3302481672
146	0.330084501
147	0.329903742
148	0.3297883285
149	0.3296382636
150	0.3294640472
151	0.3292796527
152	0.3289871477
153	0.3288691932
154	0.3286752998
155	0.328325868
156	0.3279905735
157	0.3277844202
158	0.3275408957
159	0.3272410175
160	0.3270820993
161	0.3269133591
162	0.3267608533
163	0.3266154527
164	0.3265442921
165	0.3263315403
166	0.3262539702
167	0.3261155955
168	0.3259498531
169	0.3258461565
170	0.3257514535
171	0.3256588666
172	0.3253711933
173	0.32529375
174	0.3250776353
175	0.3249160267
176	0.3248186929
177	0.3246423157
178	0.324554093
179	0.3242666857
180	0.3242486532
181	0.3240491747
182	0.323860978
183	0.3236491922
184	0.3235011956
185	0.3232281456
186	0.3232049117
187	0.322788415
188	0.3226884873
189	0.3222594469
190	0.3220816991
191	0.3218341084
192	0.3217658057
193	0.3215726628
194	0.3213451448
195	0.3211466208
196	0.3210387195
197	0.3208622705
198	0.3207866831
199	0.320440469
200	0.3202532161
201	0.3201771073
202	0.3201112648
203	0.3198036511
204	0.3197501548
205	0.3194378119
206	0.3192374264
207	0.3191074375
208	0.3189704696
209	0.3188102558
210	0.3186890987
211	0.3185697247
212	0.31848721
213	0.3183944768
214	0.3181475666
215	0.3180493318
216	0.317998754
217	0.3178543931
218	0.317846325
219	0.3177237907
220	0.3176050695
221	0.3175005821
222	0.3172676262
223	0.317124063
224	0.3169759234
225	0.316884247
226	0.3165946898
227	0.3165408991
228	0.3164383414
229	0.3163320511
230	0.3162804229
231	0.3161139434
232	0.3159973129
233	0.3159586138
234	0.3158721815
235	0.3157818397
236	0.3155627482
237	0.3154339386
238	0.3152655932
239	0.3151198481
240	0.314783286
241	0.3146429133
242	0.3144854413
243	0.3144283815
244	0.314374838
245	0.3140708721
246	0.314012145
247	0.313740154
248	0.313609104
249	0.313516754
250	0.3134408032
251	0.3133162105
252	0.3131598152
253	0.3130441312
254	0.3129479683
255	0.3127329956
256	0.3125134802
257	0.3124756303
258	0.3123697193
259	0.3123039928
260	0.3118266442
261	0.3116595553
262	0.3112048101
263	0.3109698874
264	0.3109099923
265	0.3107453155
266	0.3106640786
267	0.3106353452
268	0.3105277604
269	0.3104196914
270	0.3102939189
271	0.3101164222
272	0.3099523345
273	0.3096945843
274	0.3096199876
275	0.3095290398
276	0.3093586052
277	0.3090459173
278	0.3086344874
279	0.3085096117
280	0.3084039213
281	0.3082716489
282	0.3081359379
283	0.307998069
284	0.3078974207
285	0.3077426355
286	0.3073390086
287	0.307197041
288	0.3070872872
289	0.3069807465
290	0.3068503236
291	0.3065440629
292	0.3064883578
293	0.3061465271
294	0.3061020031
295	0.3057632574
296	0.3054561238
297	0.3053534418
298	0.3052604385
299	0.3051585573
300	0.3048522203
301	0.3048186119
302	0.3047885018
303	0.3045585684
304	0.3044751287
305	0.3043705971
306	0.3040817395
307	0.3039282641
308	0.3038338704
309	0.3037305512
310	0.3031656112
311	0.3028583921
312	0.3025331689
313	0.3021950887
314	0.3018764115
315	0.3016856452
316	0.3014216007
317	0.3013879428
318	0.3012187068
319	0.3010539922
320	0.3009610407
321	0.3006993475
322	0.3006662419
323	0.3003902025
324	0.3003124588
325	0.3000773641
326	0.3000058727
327	0.2999759609
328	0.2998170413
329	0.2996910299
330	0.299583627
331	0.2993327606
332	0.2992530512
333	0.299026542
334	0.2988273646
335	0.2987293157
336	0.2986987972
337	0.2984169564
338	0.2983542631
339	0.2981451257
340	0.2980245989
341	0.2979411845
342	0.2976437888
343	0.2973224602
344	0.2972293438
345	0.2971495486
346	0.2971209201
347	0.2969449402
348	0.296678208
349	0.2965747477
350	0.2965553613
351	0.2964633404
352	0.2963719338
353	0.2962786445
354	0.2961790014
355	0.2960947961
356	0.2960208345
357	0.295995992
358	0.2958485795
359	0.2957567187
360	0.2957351598
361	0.2955180432
362	0.2952833677
363	0.295100547
364	0.2949358046
365	0.2948151087
366	0.2947152013
367	0.2945533002
368	0.2944235385
369	0.2942915052
370	0.2941991449
371	0.2940963555
372	0.293987105
373	0.2937674393
374	0.2935532401
375	0.2934647424
376	0.2933777551
377	0.293287368
378	0.2930282913
379	0.2928692991
380	0.2925031966
381	0.2922160071
382	0.2920851599
383	0.2919703846
384	0.291826907
385	0.291690718
386	0.2916708135
387	0.2912406131
388	0.2911201896
389	0.2910453359
390	0.2908050331
391	0.2907227517
392	0.2906654908
393	0.2905362816
394	0.2904584846
395	0.290367335
396	0.2902193659
397	0.2901870771
398	0.2900975989
399	0.2899322338
400	0.2898594786
401	0.2898427801
402	0.2897555667
403	0.2896447359
404	0.2895253283
405	0.2893630452
406	0.289276973
407	0.289191763
408	0.2891086872
409	0.2890437801
410	0.2888181707
411	0.2886956043
412	0.2886200953
413	0.2882790514
414	0.2881332288
415	0.2880691344
416	0.2878530696
417	0.2877024196
418	0.2874728106
419	0.287357219
420	0.287228289
421	0.2871179911
422	0.2868428013
423	0.2866793788
424	0.286618897
425	0.2865773992
426	0.2861477881
427	0.2859786424
428	0.2858675657
429	0.2857091651
430	0.2854627844
431	0.285236384
432	0.2851024503
433	0.2850443537
434	0.2848331376
435	0.2845988289
436	0.2845880017
437	0.2844560527
438	0.2843531879
439	0.2842434877
440	0.2839806517
441	0.283961794
442	0.2839170668
443	0.2838393069
444	0.2835803867
445	0.283505465
446	0.2834780283
447	0.2833921052
448	0.2832764213
449	0.2830220251
450	0.2829741223
451	0.2828187913
452	0.2827588922
453	0.282627154
454	0.2824354238
455	0.2823866564
456	0.2822319049
457	0.2821513185
458	0.2819255405
459	0.2816779672
460	0.2816552271
461	0.2814954362
462	0.2813837484
463	0.2813385226
464	0.280892041
465	0.2806737113
466	0.2806555014
467	0.2802775416
468	0.2800346961
469	0.2798242083
470	0.2797453663
471	0.2796847526
472	0.2795143337
473	0.2793588335
474	0.2790885184
475	0.2790228831
476	0.278927336
477	0.2787386666
478	0.2786023393
479	0.2785820068
480	0.2784459348
481	0.2782994333
482	0.2782125391
483	0.2779194713
484	0.2778202815
485	0.277765819
486	0.2777466068
487	0.2776694797
488	0.2776500809
489	0.277554468
490	0.2774049428
491	0.2773070754
492	0.2771549057
493	0.2769552562
494	0.276878979
495	0.2768034853
496	0.2767100913
497	0.2766331992
498	0.2765043199
499	0.2764020288
500	0.2763131649
501	0.276295716
502	0.2762216019
503	0.2760929916
504	0.2760655666
505	0.2760483183
506	0.2759155885
507	0.275720291
508	0.2756470337
509	0.2755410427
510	0.2755176482
511	0.2754778055
512	0.2754062104
513	0.2753666248
514	0.2752728128
515	0.2751530765
516	0.2747537814
517	0.2744192574
518	0.274404437
519	0.2741905225
520	0.274017968
521	0.2738401985
522	0.2738315467
523	0.2737238146
524	0.2735505556
525	0.2732387309
526	0.2730666236
527	0.272714514
528	0.2726499013
529	0.2725183339
530	0.2724361983
531	0.2723566128
532	0.2723407997
533	0.2722487141
534	0.2721897312
535	0.2720689514
536	0.2717361986
537	0.2716776492
538	0.271520671
539	0.2713676987
540	0.2710654155
541	0.2710467083
542	0.2709383685
543	0.2708046661
544	0.2705844507
545	0.2703833534
546	0.2700722265
547	0.2698708241
548	0.2697687765
549	0.2696981766
550	0.2695853788
551	0.2695209647
552	0.2693176707
553	0.2692218428
554	0.2688916111
555	0.2688057904
556	0.2686746579
557	0.2684514803
558	0.2683778225
559	0.2682942098
560	0.2680777861
561	0.2679823863
562	0.2679175411
563	0.2678242973
564	0.2677591997
565	0.2675738961
566	0.2675051386
567	0.267411591
568	0.2673564466
569	0.2672445493
570	0.2670901923
571	0.2669685367
572	0.2666702099
573	0.2666007492
574	0.266492938
575	0.2664635965
576	0.2662981323
577	0.2662364078
578	0.2660869039
579	0.2660041341
580	0.2659012832
581	0.2658386225
582	0.2656531131
583	0.2656225113
584	0.2655561252
585	0.2653959726
586	0.2653820673
587	0.2650975645
588	0.2650397058
589	0.2649726814
590	0.2648609821
591	0.2647149072
592	0.2646523751
593	0.2644212004
594	0.2643185575
595	0.2642589587
596	0.2640089134
597	0.2638556645
598	0.2637751653
599	0.2636351244
600	0.2633765415
601	0.263370316
602	0.2632377553
603	0.263207552
604	0.2630629039
605	0.2629447413
606	0.2628103265
607	0.2625327139
608	0.2623159138
609	0.2621909971
610	0.2620583823
611	0.2618206354
612	0.2616151248
613	0.2615762105
614	0.2613662455
615	0.2612217413
616	0.2611100614
617	0.2609292327
618	0.2607590249
619	0.2606774565
620	0.2606138668
621	0.2604772974
622	0.2604247432
623	0.2603464413
624	0.2602529382
625	0.2602057163
626	0.2600502704
627	0.2599742639
628	0.2598000812
629	0.2595770129
630	0.2594713965
631	0.2592871486
632	0.2591540934
633	0.2590293745
634	0.258911353
635	0.2586991194
636	0.2586575042
637	0.2585546164
638	0.2584937818
639	0.2583401884
640	0.2580635242
641	0.2579622191
642	0.2578576751
643	0.2576612825
644	0.2575377636
645	0.2574375192
646	0.2572064637
647	0.2571019403
648	0.2570099146
649	0.2569225836
650	0.2568834062
651	0.256804402
652	0.2566327783
653	0.2565568027
654	0.2565016732
655	0.2563987897
656	0.2563457904
657	0.2562255822
658	0.2561896459
659	0.2559500831
660	0.2558861487
661	0.2558098206
662	0.2556794413
663	0.255613003
664	0.2554823787
665	0.2553562975
666	0.2552980128
667	0.2551278676
668	0.2548660038
669	0.2546854287
670	0.2545139612
671	0.2544453813
672	0.2543585394
673	0.254287808
674	0.2542218106
675	0.2541359858
676	0.2539723343
677	0.2538081701
678	0.2537835281
679	0.2536859952
680	0.2535758834
681	0.2534412683
682	0.2533621769
683	0.2533025327
684	0.2532216691
685	0.2531637443
686	0.2530972711
687	0.2530322408
688	0.2529657651
689	0.252853895
690	0.252702819
691	0.2525805474
692	0.2525323783
693	0.2524884188
694	0.2524252144
695	0.2523027005
696	0.2522379984
697	0.2520131038
698	0.2519951583
699	0.2519130487
700	0.2518615583
701	0.2517631311
702	0.2517333003
703	0.2516937696
704	0.251640242
705	0.2514842517
706	0.2514270317
707	0.2512338031
708	0.2511488106
709	0.2510745396
710	0.2508839732
711	0.2508081148
712	0.2507530947
713	0.2506695943
714	0.2504951012
715	0.2504386559
716	0.2503261838
717	0.2502368098
718	0.2501446532
719	0.2500505626
720	0.2499603377
721	0.2498527207
722	0.2496691818
723	0.2495829742
724	0.2494241668
725	0.249266142
726	0.2491994581
727	0.2490541967
728	0.2490172985
729	0.24900839
730	0.2488228363
731	0.2486464275
732	0.2485670296
733	0.2484977359
734	0.2484746962
735	0.2484173247
736	0.2482540137
737	0.2481387572
738	0.2480488144
739	0.2479827737
740	0.2479195275
741	0.2478531336
742	0.2477629409
743	0.2477180252
744	0.2476299547
745	0.2475810981
746	0.2475147856
747	0.2474123166
748	0.2473424498
749	0.2471520939
750	0.247111891
751	0.2468944168
752	0.2467926368
753	0.2467184575
754	0.2466883095
755	0.246560888
756	0.2464855831
757	0.2464227821
758	0.246391318
759	0.2463530701
760	0.2462562131
761	0.2462247248
762	0.2461231494
763	0.2460846233
764	0.2459900471
765	0.245963317
766	0.2459419222
767	0.245874083
768	0.2457870784
769	0.2456108944
770	0.2455293505
771	0.2453583242
772	0.245246979
773	0.2450827567
774	0.2448585919
775	0.2448465885
776	0.2448213955
777	0.2446950366
778	0.2445834566
779	0.244549844
780	0.24438335
781	0.2443609928
782	0.2443144248
783	0.2442324406
784	0.2440535666
785	0.2439466276
786	0.2438475666
787	0.243800095
788	0.2437548373
789	0.243709212
790	0.2436540122
791	0.2434746688
792	0.2433996837
793	0.243279015
794	0.2431969254
795	0.2430560525
796	0.2429768504
797	0.2428709878
798	0.2428419341
799	0.2426334931
800	0.2425696245
801	0.2423995397
802	0.2423126173
803	0.2421063783
804	0.2419508814
805	0.2418030045
806	0.241703187
807	0.2415565864
808	0.2415113
809	0.2414889784
810	0.2414031059
811	0.2413344955
812	0.2412515981
813	0.2411263832
814	0.2410745139
815	0.240961305
816	0.2408187302
817	0.2407997766
818	0.240680409
819	0.2405658713
820	0.2404846073
821	0.2403448612
822	0.2403187054
823	0.2401835352
824	0.2400541707
825	0.2399608077
826	0.2397696315
827	0.2396186638
828	0.2395042559
829	0.2394649664
830	0.2394373595
831	0.2393103948
832	0.2392863398
833	0.239198343
834	0.2390379773
835	0.2390051226
836	0.2388549801
837	0.2387926459
838	0.2386930231
839	0.2386280352
840	0.238528013
841	0.238477249
842	0.2384609171
843	0.2384243253
844	0.2384071446
845	0.2383380452
846	0.2381808829
847	0.2380788325
848	0.2380323185
849	0.2379091784
850	0.2378929169
851	0.2378652929
852	0.2378477694
853	0.2378222646
854	0.2376862922
855	0.2376541218
856	0.2375512857
857	0.2375085856
858	0.2374187071
859	0.2372677545
860	0.2371271727
861	0.2370320828
862	0.2369393282
863	0.2368971639
864	0.2368340327
865	0.2367016777
866	0.2365950345
867	0.2365130574
868	0.2363907417
869	0.236273102
870	0.2362097884
871	0.2361618536
872	0.2360867783
873	0.2360416534
874	0.2359667517
875	0.2359174554
876	0.2357457626
877	0.2356307528
878	0.2354960035
879	0.2353362519
880	0.2352372253
881	0.2351074106
882	0.2349614397
883	0.2349054234
884	0.2348413772
885	0.234712487
886	0.2346171452
887	0.2345045406
888	0.234478704
889	0.234373938
890	0.2343297346
891	0.2342833258
892	0.2342210522
893	0.2340591882
894	0.2340232901
895	0.2340008141
896	0.2339442361
897	0.2338065026
898	0.2336808203
899	0.2335976587
900	0.2335143132
901	0.2334481842
902	0.2334248686
903	0.2333124533
904	0.2331547019
905	0.2330886328
906	0.2329810515
907	0.232845946
908	0.2327590867
909	0.2327064598
910	0.2326284176
911	0.2324530846
912	0.2323406221
913	0.2322334613
914	0.2320852175
915	0.2320536643
916	0.2320357082
917	0.2319395747
918	0.2318105127
919	0.2316808833
920	0.2316004693
921	0.2315730541
922	0.2315311591
923	0.2314240193
924	0.2313704698
925	0.2313158544
926	0.2312501701
927	0.2311268733
928	0.230984332
929	0.2308921799
930	0.2307931684
931	0.2307130883
932	0.2306503752
933	0.2305719611
934	0.2305216911
935	0.2304896405
936	0.230438345
937	0.2304176888
938	0.2303996149
939	0.2302594406
940	0.2302320515
941	0.2301845549
942	0.2300903694
943	0.2300238667
944	0.2299761425
945	0.2299022802
946	0.2298793792
947	0.2297896741
948	0.2297628494
949	0.2296525753
950	0.2295675969
951	0.229552681
952	0.2294692178
953	0.229344754
954	0.2292749647
955	0.229173555
956	0.2291270647
957	0.2290272092
958	0.2289206327
959	0.2288836465
960	0.2287764631
961	0.228656557
962	0.2284981676
963	0.2284747372
964	0.2284536839
965	0.228418314
966	0.2283583581
967	0.2281778485
968	0.2281574241
969	0.228058552
970	0.2279445657
971	0.2278390938
972	0.2277824108
973	0.2277387476
974	0.2277174652
975	0.2275646162
976	0.2273897017
977	0.2273647639
978	0.2272651756
979	0.2271866811
980	0.2271416486
981	0.2271111727
982	0.2269905844
983	0.2269630955
984	0.2269184597
985	0.2268175977
986	0.2266934534
987	0.2266167167
988	0.2265688797
989	0.2264335289
990	0.2262830403
991	0.2261755605
992	0.2260331745
993	0.2260304589
994	0.2259842757
995	0.2259206951
996	0.2258102048
997	0.2257222876
998	0.2256824586
999	0.2255304295
